ID,Platform,Sender_Type,Content_Type,Harsh_Roads,Villages_Temples,Rivers_Fields,Culture,Locals,Tour_Group,Eating_Partying
48,TikTok,Tourist,Short_vid,No,No,Yes,No,No,No,No
49,TikTok,Agency,Short_vid,No,No,Yes,No,No,Yes,No
50,TikTok,Agency,Short_vid,Yes,Yes,No,No,No,No,No
51,Instagram,Tourist,Photo_dump,No,No,Yes,No,Yes,No,No
52,Instagram,Tourist,Photo_dump,No,No,Yes,Yes,Yes,Yes,Yes
53,Instagram,Tourist,Photo_dump,No,Yes,No,Yes,Yes,No,No
54,Instagram,Tourist,Photo_dump,No,Yes,Yes,No,Yes,No,Yes
55,Instagram,Tourist,Photo_dump,No,No,Yes,No,No,No,No
56,Instagram,Agency,Photo_dump,No,Yes,Yes,Yes,Yes,Yes,No
57,Instagram,Tourist,Photo_dump,Yes,Yes,Yes,Yes,Yes,Yes,No
58,Instagram,Tourist,Photo_dump,No,No,Yes,No,No,Yes,No
59,Instagram,Tourist,Photo_dump,No,No,Yes,No,Yes,Yes,No
60,Instagram,Tourist,Photo_dump,No,Yes,Yes,Yes,Yes,No,Yes
61,Instagram,Tourist,Photo_dump,Yes,Yes,Yes,Yes,No,No,No
62,Instagram,Tourist,Photo_dump,No,No,No,No,No,Yes,No
63,Instagram,Agency,Short_vid,No,No,No,No,No,Yes,No
64,Instagram,Tourist,Photo_dump,No,Yes,Yes,Yes,Yes,No,Yes
65,Instagram,Tourist,Photo_dump,No,No,Yes,No,Yes,Yes,No
66,Instagram,Tourist,Photo_dump,No,No,No,Yes,Yes,Yes,Yes
67,Instagram,Tourist,Photo_dump,No,Yes,Yes,Yes,Yes,No,No
68,Instagram,Tourist,Photo_dump,No,No,Yes,Yes,Yes,No,No
69,Instagram,Tourist,Photo_dump,No,No,Yes,No,No,Yes,Yes
70,Instagram,Agency,Photo_dump,No,No,Yes,No,No,No,No
71,Instagram,Tourist,Photo_dump,No,No,Yes,Yes,Yes,No,No
72,Instagram,Tourist,Photo_dump,No,Yes,No,Yes,No,Yes,No
73,Instagram,Tourist,Photo_dump,No,Yes,Yes,Yes,Yes,No,No
74,Instagram,Tourist,Photo_dump,No,Yes,Yes,Yes,Yes,No,No
75,Instagram,Tourist,Photo_dump,No,Yes,Yes,Yes,Yes,No,No
76,TikTok,Tourist,Short_vid,No,No,No,No,No,Yes,No
77,TikTok,Agency,Short_vid,No,No,No,No,No,Yes,No
78,TikTok,Agency,Short_vid,No,No,No,No,No,Yes,No
79,TikTok,Agency,Short_vid,No,No,No,Yes,No,Yes,Yes
80,TikTok,Agency,Short_vid,No,No,Yes,No,No,Yes,No
81,TikTok,Agency,Short_vid,No,No,Yes,No,No,Yes,No
82,TikTok,Tourist,Short_vid,No,No,No,Yes,Yes,No,No
83,TikTok,Agency,Short_vid,No,No,No,No,Yes,No,No
84,TikTok,Agency,Short_vid,No,No,No,Yes,No,Yes,Yes
85,TikTok,Tourist,Vlog,No,Yes,No,No,No,Yes,Yes
86,TikTok,Tourist,Short_vid,No,No,Yes,No,No,Yes,Yes
87,TikTok,Agency,Short_vid,No,Yes,Yes,No,No,Yes,No
88,TikTok,Tourist,Short_vid,No,No,No,Yes,Yes,No,No
89,TikTok,Tourist,Short_vid,No,No,Yes,No,No,No,No
90,TikTok,Tourist,Short_vid,No,No,No,No,No,No,Yes
91,TikTok,Tourist,Short_vid,No,No,No,Yes,Yes,Yes,No
92,TikTok,Tourist,Short_vid,Yes,No,Yes,No,No,Yes,No
93,TikTok,Agency,Short_vid,No,Yes,No,Yes,No,Yes,No
94,TikTok,Tourist,Infographic,No,Yes,Yes,Yes,Yes,No,Yes
95,TikTok,Agency,Short_vid,Yes,No,Yes,No,No,Yes,No
96,TikTok,Agency,Short_vid,No,Yes,No,No,No,Yes,No
97,TikTok,Tourist,Short_vid,No,Yes,Yes,No,Yes,No,No
98,TikTok,Agency,Short_vid,No,Yes,No,Yes,Yes,Yes,No
99,TikTok,Tourist,Short_vid,No,No,Yes,No,No,No,No
100,TikTok,Agency,Short_vid,No,No,No,Yes,No,Yes,No
